token	lemma	pos	morphosyntactic_features	author	text_id	title	line_number
Marte	Marta	NOUN	{Case: [ablative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	1
satos	so	VERB	{Case: [accusative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	1
Sveones	Sveones	NOUN	{Case: [accusative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	1
prisci	prisci	ADJ	{Case: [nominative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	1
sensere	sensere	VERB	{VerbForm: [infinitive, infinitive], Tense: [present], Voice: [active]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	1
Gothos	Gothos	NOUN	{Case: [accusative], Gender: [masculine], Number: [plural]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	1
que	que	CCONJ	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	1
,	,	PUNCT	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	1
Traditur	Trado	VERB	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [passive]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	2
et	et	CCONJ	{}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	2
Boreae	Borea	PROPN	{Case: [genitive], Gender: [feminine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	2
Mars	Mars	PROPN	{Case: [nominative], Gender: [masculine], Number: [singular]}	lind	lind_1	In transitum regis Caroli Gustavi per mare Balticum glacie constrictum anno 1658	2
